City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,noble,35.1392,-97.3948,36.99,52,0,4.12,US,1691972831
317,middletown,39.5151,-84.3983,28.16,65,0,3.6,US,1691972547
318,puerto lempira,15.2667,-83.7667,29.08,70,20,4.63,HN,1691972810
319,honefoss,60.168,10.2565,15.84,98,98,1.81,NO,1691972827
320,viqueque,-8.8673,126.3658,25.68,72,62,2.29,TL,1691972833
321,floro,61.5996,5.0328,14.04,94,75,4.12,NO,1691972833
322,ambovombe,-25.1667,46.0833,21.19,75,91,1.6,MG,1691972834
323,vadso,70.0744,29.7487,14.49,94,100,3.6,NO,1691972834
324,fale old settlement,-9.3852,-171.2468,28.4,72,14,7.92,TK,1691972834
325,malango,-2.9627,119.9001,21.39,85,70,0.72,ID,1691972835
326,okahandja,-21.9833,16.9167,11.89,22,38,0.13,NA,1691972835
327,tolanaro,-25.0319,46.9987,23.04,78,40,2.06,MG,1691972835
328,kasrawad,22.1333,75.6,24.98,82,100,3.55,IN,1691972836
329,bodo,67.28,14.405,17.1,75,0,5.66,NO,1691972836
330,llandrindod wells,52.2416,-3.3787,14.41,96,100,2.0,GB,1691972836
331,popondetta,-8.7537,148.2534,29.59,56,53,1.39,PG,1691972836
332,punta del este,-34.9667,-54.95,10.54,58,0,3.09,UY,1691972837
333,camapua,-19.5314,-54.0439,24.51,54,100,3.15,BR,1691972837
334,guangyuan,32.442,105.823,25.7,83,16,0.66,CN,1691972837
335,vilyuysk,63.7553,121.6247,20.13,58,95,2.94,RU,1691972838
336,grand-lahou,5.1367,-5.0242,23.52,87,83,4.85,CI,1691972838
337,ritchie,-29.038,24.6028,12.08,41,0,3.05,ZA,1691972838
338,san patricio,28.017,-97.5169,34.4,52,1,7.8,US,1691972839
339,roma,43.2128,-75.4557,21.09,78,0,4.12,US,1691972721
340,kukawa,12.9234,13.5606,26.41,71,67,2.53,NG,1691972840
341,bilisht,40.6275,20.99,17.0,67,84,1.22,AL,1691972840
342,qarawul,37.2202,68.7804,20.95,19,0,0.84,AF,1691972840
343,taoudenni,22.6783,-3.9836,37.6,8,21,5.57,ML,1691972841
344,lufilufi,-13.8745,-171.5986,31.88,80,27,6.62,WS,1691972841
345,pisco,-13.7,-76.2167,19.03,77,0,5.14,PE,1691972841
346,hinton,53.4001,-117.5857,29.32,25,68,2.22,CA,1691972841
347,east wenatchee bench,47.4257,-120.2812,37.72,21,0,5.14,US,1691972842
348,jose maria morelos,23.3952,-103.8984,26.75,24,23,7.14,MX,1691972842
349,sao gabriel da cachoeira,-0.1303,-67.0892,23.32,96,78,1.39,BR,1691972842
350,alice springs,-23.7,133.8833,25.75,25,20,7.2,AU,1691972843
351,igarka,67.4667,86.5833,15.37,79,62,2.42,RU,1691972843
352,souillac,-20.5167,57.5167,23.21,83,75,4.63,MU,1691972843
353,bahawalpur,29.4,71.6833,31.81,54,24,8.15,PK,1691972844
354,hovd,48.0056,91.6419,15.17,38,30,2.51,MN,1691972844
355,nemuro,43.3236,145.575,14.47,83,100,8.0,JP,1691972844
356,dame-marie,18.5667,-74.4167,28.05,77,13,0.4,HT,1691972844
357,kemijarvi,66.7131,27.4306,12.5,93,86,1.57,FI,1691972845
358,chibougamau,49.9168,-74.3659,15.79,94,75,1.54,CA,1691972845
359,yartsevo,55.0667,32.6964,14.44,98,28,2.35,RU,1691972845
360,hadibu,12.65,54.0333,25.81,83,12,7.41,YE,1691972846
361,trinidad,-14.8333,-64.9,19.38,66,100,2.17,BO,1691972846
362,khovd,48.0056,91.6419,15.17,38,30,2.51,MN,1691972846
363,chonchi,-42.6128,-73.8092,11.18,99,100,1.19,CL,1691972847
364,dawson creek,55.7666,-120.2362,26.8,36,0,9.77,CA,1691972847
